Date,Number of lots,Sale total
22-3-2019,73,NA
21-3-2019,111,NA
20-3-2019,NA,NA
20-3-2019,154,NA
20-3-2019,NA,NA
20-3-2019,NA,NA
20-3-2019,188,NA
19-3-2019,22,NA
19-3-2019,79,NA
19-3-2019,223,NA
19-3-2019,256,NA
19-3-2019,NA,NA
19-3-2019,NA,NA
19-3-2019,NA,NA
19-3-2019,114,NA
19-3-2019,114,NA
18-3-2019,81,NA
18-3-2019,NA,NA
18-3-2019,90,NA
18-3-2019,38,NA
18-3-2019,218,NA
17-3-2019,92,NA
17-3-2019,NA,NA
17-3-2019,62,11426
16-3-2019,NA,NA
16-3-2019,NA,NA
16-3-2019,78,NA
14-3-2019,101,210332
14-3-2019,30,21209
13-3-2019,NA,NA
13-3-2019,66,NA
13-3-2019,133,NA
12-3-2019,NA,NA
10-3-2019,54,34640
10-3-2019,NA,NA
08-3-2019,150,NA
08-3-2019,NA,NA
07-3-2019,118,NA
06-3-2019,136,NA
05-3-2019,23,NA
05-3-2019,44,NA
05-3-2019,324,NA
05-3-2019,217,NA
05-3-2019,138,NA
05-3-2019,37,NA
04-3-2019,582,NA
04-3-2019,NA,NA
04-3-2019,63,NA
03-3-2019,NA,NA
02-3-2019,NA,NA
02-3-2019,NA,NA
28-2-2019,27,NA
28-2-2019,251,NA
27-2-2019,71,NA
27-2-2019,65,NA
27-2-2019,131,297550
26-2-2019,221,NA
26-2-2019,35,NA
26-2-2019,142,NA
26-2-2019,226,NA
25-2-2019,22,NA
25-2-2019,266,NA
25-2-2019,17,NA
24-2-2019,39,NA
24-2-2019,212,556650
24-2-2019,93,NA
23-2-2019,62,NA
22-2-2019,100,NA
22-2-2019,175,NA
21-2-2019,117,NA
21-2-2019,62,27980
21-2-2019,49,24767
20-2-2019,200,NA
20-2-2019,105,248307
20-2-2019,192,NA
20-2-2019,81,NA
20-2-2019,121,NA
19-2-2019,102,NA
19-2-2019,37,NA
19-2-2019,103,NA
18-2-2019,163,NA
18-2-2019,203,NA
18-2-2019,106,143683
18-2-2019,156,145920
17-2-2019,43,NA
16-2-2019,155,NA
15-2-2019,42,13670
14-2-2019,48,9754
13-2-2019,50,NA
13-2-2019,154,32878
11-2-2019,74,NA
10-2-2019,29,NA
09-2-2019,125,26009
08-2-2019,61,NA
08-2-2019,260,NA
07-2-2019,48,4230
07-2-2019,169,NA
07-2-2019,357,292804
07-2-2019,238,74940
06-2-2019,64,NA
06-2-2019,328,NA
06-2-2019,55,NA
06-2-2019,94,NA
05-2-2019,86,NA
04-2-2019,NA,NA
04-2-2019,77,190150
04-2-2019,231,NA
03-2-2019,51,NA
01-2-2019,330,NA
31-1-2019,285,NA
30-1-2019,33,NA
30-1-2019,78,NA
30-1-2019,148,NA
30-1-2019,72,NA
30-1-2019,117,NA
30-1-2019,130,NA
29-1-2019,23,NA
29-1-2019,110,NA
29-1-2019,173,43061
29-1-2019,192,165746
29-1-2019,83,39320
29-1-2019,74,NA
29-1-2019,90,88946
29-1-2019,48,113854
29-1-2019,295,NA
29-1-2019,17,43446
29-1-2019,46,NA
29-1-2019,144,NA
28-1-2019,164,10255
